,Backend,Driver,Format,RW,BS,IODepth,Numjobs,Round,BW(MiB/s),IOPS,LAT(ms),CLAT90(ms),Util(%)
0,HDD,SCSI,RAW,randread,1M,1,1,1,76.6201,76,13.0372,32.1126,23.9703
1,HDD,SCSI,RAW,randread,1M,128,1,1,305.0703,302,421.5571,700.4488,33.9341
2,HDD,SCSI,RAW,randread,1M,64,1,1,279.4873,278,229.4913,392.1674,34.3398
3,HDD,SCSI,RAW,randread,4k,1,1,1,1.1719,300,3.3204,9.1095,45.7964
4,HDD,SCSI,RAW,randread,4k,128,1,1,38.7158,9909,12.9103,26.8698,87.5006
5,HDD,SCSI,RAW,randread,4k,64,1,1,40.0234,10245,6.2409,15.532,89.0155
6,HDD,SCSI,RAW,randread,4k,8,1,1,17.1885,4400,1.811,7.4383,90.9241
7,HDD,SCSI,RAW,randread,4k,8,1,2,15.7129,4022,1.9821,7.7005,90.8484
8,HDD,SCSI,RAW,randrw,1M,1,1,1,60.1602,59,33.7618,67.4038,16.9035
9,HDD,SCSI,RAW,randrw,1M,128,1,1,79.5723,76,3254.525,5796.5281,22.1668
10,HDD,SCSI,RAW,randrw,1M,64,1,1,79.7578,78,1614.2105,2868.9039,22.5048
11,HDD,SCSI,RAW,randrw,4k,1,1,1,2.3877,610,3.2424,8.8576,58.2391
12,HDD,SCSI,RAW,randrw,4k,128,1,1,2.9629,756,337.9357,457.1791,32.4093
13,HDD,SCSI,RAW,randrw,4k,64,1,1,2.9932,764,167.1158,243.2696,33.0059
14,HDD,SCSI,RAW,randwrite,1M,1,1,1,128.874,128,7.7468,11.4688,31.3707
15,HDD,SCSI,RAW,randwrite,1M,128,1,1,136.418,134,945.7891,2071.9862,26.3409
16,HDD,SCSI,RAW,randwrite,1M,64,1,1,151.3359,150,424.6974,968.8842,28.4141
17,HDD,SCSI,RAW,randwrite,4k,1,1,1,1.0479,268,3.7161,8.8474,49.8332
18,HDD,SCSI,RAW,randwrite,4k,128,1,1,1.7949,457,278.5979,501.2193,44.3924
19,HDD,SCSI,RAW,randwrite,4k,64,1,1,2.6396,674,95.5083,235.9296,45.6361
20,HDD,SCSI,RAW,randwrite,4k,8,1,1,1.2656,324,24.6713,36.9623,40.8829
21,HDD,SCSI,RAW,randwrite,4k,8,1,2,1.2354,316,25.3575,40.108,41.6395
22,HDD,SCSI,RAW,read,1M,1,1,1,222.3564,222,4.4867,11.0756,54.7935
23,HDD,SCSI,RAW,read,1M,1,1,1,408.3984,408,2.4388,7.4383,58.2691
24,HDD,SCSI,RAW,read,1M,128,1,1,676.0283,673,189.6937,291.5041,73.4368
25,HDD,SCSI,RAW,read,1M,64,1,1,633.1328,632,101.5146,170.9179,69.8726
26,HDD,SCSI,RAW,read,4k,1,1,1,41.1221,10527,0.0899,0.1111,91.6049
27,HDD,SCSI,RAW,read,4k,1,1,1,28.2041,7220,0.1336,0.1183,89.3733
28,HDD,SCSI,RAW,read,4k,128,1,1,158.3818,40543,3.1519,3.8502,86.5627
29,HDD,SCSI,RAW,read,4k,64,1,1,150.7061,38579,1.6537,1.3353,83.4385
30,HDD,SCSI,RAW,read,4k,8,1,1,91.876,23520,0.3354,0.1772,72.6514
31,HDD,SCSI,RAW,read,4k,8,1,2,83.5352,21384,0.3688,0.1874,71.485
32,HDD,SCSI,RAW,write,1M,1,1,1,429.5498,429,2.3185,1.8268,59.3141
33,HDD,SCSI,RAW,write,1M,128,1,1,435.5098,433,294.8439,641.7285,41.203
34,HDD,SCSI,RAW,write,1M,64,1,1,420.2979,419,152.3615,329.2529,41.0259
35,HDD,SCSI,RAW,write,4k,1,1,1,26.2393,6717,0.1436,0.1254,91.4705
36,HDD,SCSI,RAW,write,4k,128,1,1,52.0098,13312,9.6084,15.6631,76.2721
37,HDD,SCSI,RAW,write,4k,64,1,1,37.0234,9477,6.7505,6.1276,62.942
38,HDD,SCSI,RAW,write,4k,8,1,1,53.6396,13731,0.5774,0.51,77.5912
39,HDD,SCSI,RAW,write,4k,8,1,2,54.3115,13903,0.5702,0.4977,75.2786
